DATE,TMAX,TMIN,HUMIDITY,PRCP,PRESSURE,RAIN
8/14/2008,30,26,94,6.2,1001,TRUE
8/15/2008,29,25,94,0.3,1001,TRUE
8/16/2008,30,26,93,0,1001,FALSE
8/17/2008,31,26,91,0,1002,FALSE
8/18/2008,30,26,94,0.9,1002,TRUE
8/19/2008,28,26,95,0,1003,FALSE
8/20/2008,30,25,93,0.3,1003,TRUE
8/21/2008,28,25,95,0.1,1002,TRUE
8/22/2008,30,25,91,2.9,1003,TRUE
8/23/2008,31,25,89,0.7,1003,TRUE
8/24/2008,31,26,92,0,1004,FALSE
8/25/2008,30,26,92,0,1006,FALSE
8/26/2008,31,26,90,1.6,1006,TRUE
8/27/2008,30,25,93,5.6,1004,TRUE
8/28/2008,29,26,94,3.9,1003,TRUE
8/29/2008,30,26,93,0,1003,FALSE
8/30/2008,32,25,91,1.7,1004,TRUE
8/31/2008,32,26,90,1.2,1006,TRUE
9/1/2008,32,26,91,2,1006,TRUE
9/2/2008,30,26,92,2.9,1006,TRUE
9/3/2008,31,25,91,1.2,1006,TRUE
9/4/2008,30,25,92,0.5,1007,TRUE
9/5/2008,30,25,93,4.4,1005,TRUE
9/6/2008,32,25,89,1.9,1005,TRUE
9/7/2008,32,25,89,3.9,1004,TRUE
9/8/2008,32,26,91,6,1004,TRUE
9/9/2008,29,26,92,4.6,1005,TRUE
9/10/2008,32,24,87,2.1,1005,TRUE
9/11/2008,31,26,90,6.5,1004,TRUE
9/12/2008,32,27,92,12.3,1004,TRUE
9/13/2008,31,26,92,11.1,1004,TRUE
9/14/2008,32,26,90,5.1,1003,TRUE
9/15/2008,30,26,94,10.7,1002,TRUE
9/16/2008,29,25,92,6.8,1001,TRUE
9/17/2008,29,24,91,0.5,1003,TRUE
9/18/2008,30,25,94,5.4,1005,TRUE
9/19/2008,30,25,93,4.7,1006,TRUE
9/20/2008,33,25,89,4.7,1006,TRUE
9/21/2008,33,26,89,2,1004,TRUE
9/22/2008,30,25,91,4.2,1003,TRUE
9/23/2008,30,24,91,2.1,1004,TRUE
9/24/2008,31,25,91,4.3,1003,TRUE
9/25/2008,31,25,90,0.8,1002,TRUE
9/26/2008,31,25,91,3.8,1001,TRUE
9/27/2008,30,25,93,4.1,1001,TRUE
9/28/2008,26,25,97,6,1002,TRUE
9/29/2008,30,24,90,0.6,1006,TRUE
9/30/2008,32,24,87,1.6,1007,TRUE
10/1/2008,32,25,85,0,1006,FALSE
10/2/2008,29,25,92,6.6,1007,TRUE
10/3/2008,29,24,93,14,1009,TRUE
10/4/2008,30,24,91,16.8,1008,TRUE
10/5/2008,30,24,90,10.7,1008,TRUE
10/6/2008,29,24,93,12.8,1008,TRUE
10/7/2008,30,24,91,8.8,1008,TRUE
10/8/2008,29,24,91,3,1007,TRUE
10/9/2008,30,23,90,0.5,1009,TRUE
10/10/2008,30,23,90,5.1,1011,TRUE
10/11/2008,31,23,86,0,1011,FALSE
10/12/2008,32,22,84,0,1011,FALSE
10/13/2008,32,23,84,0.2,1009,TRUE
10/14/2008,32,23,85,0,1010,FALSE
10/15/2008,31,23,84,0.2,1011,TRUE
10/16/2008,32,23,81,0,1010,FALSE
10/17/2008,31,22,82,0,1009,FALSE
10/18/2008,31,21,82,0,1009,FALSE
10/19/2008,31,22,81,0,1009,FALSE
10/20/2008,31,21,80,0,1008,FALSE
10/21/2008,30,22,81,0,1009,FALSE
10/22/2008,31,22,81,0,1009,FALSE
10/23/2008,31,22,81,0,1009,FALSE
10/24/2008,26,23,93,0,1010,FALSE
10/25/2008,23,21,96,0.2,1009,TRUE
10/26/2008,22,20,96,19.2,1007,TRUE
10/27/2008,23,20,94,0,1003,FALSE
10/28/2008,27,18,88,0,1011,FALSE
10/29/2008,28,19,86,0,1009,FALSE
10/30/2008,28,19,85,0,1010,FALSE
10/31/2008,29,20,85,0,1010,FALSE
11/1/2008,29,20,84,0,1009,FALSE
11/2/2008,30,20,85,0,1008,FALSE
11/3/2008,31,21,81,0,1010,FALSE
11/4/2008,29,21,80,0,1009,FALSE
11/5/2008,30,21,78,0,1009,FALSE
11/6/2008,29,21,81,0,1009,FALSE
11/7/2008,29,19,83,0,1011,FALSE
11/8/2008,29,20,81,0,1011,FALSE
11/9/2008,29,19,80,0,1011,FALSE
11/10/2008,29,18,81,0,1012,FALSE
11/11/2008,28,18,80,0,1012,FALSE
11/12/2008,27,17,80,0,1011,FALSE
11/13/2008,27,16,81,0,1011,FALSE
11/14/2008,26,17,83,0,1011,FALSE
11/15/2008,27,18,80,0,1011,FALSE
11/16/2008,27,19,77,0,1010,FALSE
11/17/2008,26,16,78,0,1010,FALSE
11/18/2008,27,16,76,0,1011,FALSE
11/19/2008,28,16,77,0,1012,FALSE
11/20/2008,27,17,74,0,1013,FALSE
11/21/2008,28,17,74,0,1013,FALSE
11/22/2008,29,19,75,0,1014,FALSE
11/23/2008,27,18,74,0,1014,FALSE
11/24/2008,26,17,81,0,1013,FALSE
11/25/2008,26,16,77,0,1014,FALSE
11/26/2008,26,16,77,0,1014,FALSE
11/27/2008,26,17,80,0,1015,FALSE
11/28/2008,27,16,78,0,1015,FALSE
11/29/2008,27,17,77,0,1015,FALSE
11/30/2008,27,16,76,0,1015,FALSE
12/1/2008,28,19,78,0,1014,FALSE
12/2/2008,27,18,73,0,1012,FALSE
12/3/2008,27,17,73,0,1011,FALSE
12/4/2008,27,18,73,0,1012,FALSE
12/5/2008,28,18,74,0,1015,FALSE
12/6/2008,27,17,70,0,1014,FALSE
12/7/2008,27,17,71,0,1013,FALSE
12/8/2008,28,18,68,0,1015,FALSE
12/9/2008,28,18,70,0,1013,FALSE
12/10/2008,27,19,75,0,1013,FALSE
12/11/2008,28,18,74,0,1012,FALSE
12/12/2008,28,18,74,0,1012,FALSE
12/13/2008,28,18,74,0,1014,FALSE
12/14/2008,27,17,73,0,1014,FALSE
12/15/2008,26,16,71,0,1014,FALSE
12/16/2008,25,15,70,0,1013,FALSE
12/17/2008,26,16,73,0,1015,FALSE
12/18/2008,26,16,75,0,1015,FALSE
12/19/2008,26,16,75,0,1014,FALSE
12/20/2008,26,17,71,0,1013,FALSE
12/21/2008,26,16,71,0,1012,FALSE
12/22/2008,25,17,74,0,1013,FALSE
12/23/2008,25,16,70,0,1014,FALSE
12/24/2008,25,17,72,0,1014,FALSE
12/25/2008,26,16,74,0,1013,FALSE
12/26/2008,25,15,66,0,1013,FALSE
12/27/2008,25,15,67,0,1013,FALSE
12/28/2008,25,15,69,0,1012,FALSE
12/29/2008,25,15,70,0,1012,FALSE
12/30/2008,25,14,64,0,1014,FALSE
12/31/2008,25,15,61,0,1013,FALSE
1/1/2009,26,16,64,0,1013,FALSE
1/2/2009,25,15,58,0,1015,FALSE
1/3/2009,25,14,54,0,1015,FALSE
1/4/2009,25,13,59,0,1014,FALSE
1/5/2009,25,13,58,0,1012,FALSE
1/6/2009,27,15,65,0,1013,FALSE
1/7/2009,26,16,66,0.2,1015,TRUE
1/8/2009,27,17,65,0.2,1017,TRUE
1/9/2009,27,16,61,0,1017,FALSE
1/10/2009,27,16,55,0,1016,FALSE
1/11/2009,26,16,51,0,1016,FALSE
1/12/2009,26,16,58,0,1018,FALSE
1/13/2009,26,15,55,0,1020,FALSE
1/14/2009,26,14,56,0,1019,FALSE
1/15/2009,27,14,58,0,1018,FALSE
1/16/2009,27,13,56,0,1018,FALSE
1/17/2009,27,15,56,0,1016,FALSE
1/18/2009,28,15,52,0,1015,FALSE
1/19/2009,28,14,55,0,1013,FALSE
1/20/2009,28,16,55,0,1012,FALSE
1/21/2009,28,16,50,0,1013,FALSE
1/22/2009,27,15,47,0,1012,FALSE
1/23/2009,27,13,50,0,1011,FALSE
1/24/2009,28,15,57,0,1011,FALSE
1/25/2009,29,15,59,0,1012,FALSE
1/26/2009,31,18,69,0,1011,FALSE
1/27/2009,32,18,67,0,1011,FALSE
1/28/2009,30,17,54,0,1011,FALSE
1/29/2009,29,17,46,0,1013,FALSE
1/30/2009,29,15,41,0,1012,FALSE
1/31/2009,28,14,37,0,1011,FALSE
2/1/2009,29,15,43,0,1013,FALSE
2/2/2009,28,13,35,0,1014,FALSE
2/3/2009,28,14,36,0,1013,FALSE
2/4/2009,28,14,42,0,1013,FALSE
2/5/2009,29,14,45,0,1013,FALSE
2/6/2009,30,14,43,0,1013,FALSE
2/7/2009,30,16,44,0,1012,FALSE
2/8/2009,30,17,39,0,1014,FALSE
2/9/2009,30,15,38,0,1014,FALSE
2/10/2009,30,16,37,0,1013,FALSE
2/11/2009,30,15,40,0,1011,FALSE
2/12/2009,32,16,49,0,1009,FALSE
2/13/2009,29,18,48,0,1010,FALSE
2/14/2009,30,15,41,0,1010,FALSE
2/15/2009,31,16,40,0,1010,FALSE
2/16/2009,31,16,41,0,1012,FALSE
2/17/2009,31,16,34,0,1012,FALSE
2/18/2009,31,16,30,0,1010,FALSE
2/19/2009,31,16,31,0,1009,FALSE
2/20/2009,32,16,33,0,1012,FALSE
2/21/2009,32,16,28,0,1010,FALSE
2/22/2009,33,16,29,0,1008,FALSE
2/23/2009,33,15,41,0,1008,FALSE
2/24/2009,34,17,45,0,1007,FALSE
2/25/2009,36,19,50,0.2,1006,TRUE
2/26/2009,34,20,48,0,1007,FALSE
2/27/2009,33,19,34,0,1008,FALSE
2/28/2009,34,17,40,0,1007,FALSE
3/1/2009,33,21,26,0,1008,FALSE
3/2/2009,32,15,28,0,1009,FALSE
3/3/2009,34,17,38,0,1008,FALSE
3/4/2009,34,18,55,0,1007,FALSE
3/5/2009,35,19,53,0,1005,FALSE
3/6/2009,35,20,57,0,1007,FALSE
3/7/2009,35,21,57,0,1008,FALSE
3/8/2009,35,19,49,0,1008,FALSE
3/9/2009,36,20,53,0,1010,FALSE
3/10/2009,37,22,39,0,1011,FALSE
3/11/2009,36,25,29,0,1009,FALSE
3/12/2009,35,23,25,0,1009,FALSE
3/13/2009,35,16,25,0,1013,FALSE
3/14/2009,36,16,32,0,1011,FALSE
3/15/2009,36,17,32,0,1009,FALSE
3/16/2009,32,21,31,0,1010,FALSE
3/17/2009,37,20,29,0,1009,FALSE
3/18/2009,35,20,43,0,1008,FALSE
3/19/2009,36,20,33,0,1008,FALSE
3/20/2009,37,22,44,0,1008,FALSE
3/21/2009,37,21,48,0,1007,FALSE
3/22/2009,37,23,52,1.2,1008,TRUE
3/23/2009,37,23,40,0,1009,FALSE
3/24/2009,38,21,32,0,1009,FALSE
3/25/2009,38,23,35,0,1008,FALSE
3/26/2009,36,23,36,0,1007,FALSE
3/27/2009,35,20,50,1.5,1008,TRUE
3/28/2009,33,21,63,0,1009,FALSE
3/29/2009,36,21,61,0.1,1008,TRUE
3/30/2009,36,23,60,0.2,1007,TRUE
3/31/2009,34,24,74,16.6,1005,TRUE
4/1/2009,30,22,79,2.4,1007,TRUE
4/2/2009,35,21,66,0.1,1008,TRUE
4/3/2009,34,23,63,0.6,1008,TRUE
4/4/2009,37,24,60,0,1007,FALSE
4/5/2009,37,25,59,0.2,1008,TRUE
4/6/2009,36,25,62,0.4,1006,TRUE
4/7/2009,38,24,50,0,1005,FALSE
4/8/2009,37,24,51,0,1006,FALSE
4/9/2009,38,25,45,0,1007,FALSE
4/10/2009,39,24,41,0,1006,FALSE
4/11/2009,38,27,41,0,1006,FALSE
4/12/2009,38,25,48,0,1006,FALSE
4/13/2009,39,25,43,0,1004,FALSE
4/14/2009,39,25,37,0,1004,FALSE
4/15/2009,39,24,43,0,1005,FALSE
4/16/2009,36,25,58,0,1005,FALSE
4/17/2009,35,26,69,0,1002,FALSE
4/18/2009,40,26,55,0,1001,FALSE
4/19/2009,41,26,60,0,1003,FALSE
4/20/2009,39,27,64,0,1002,FALSE
4/21/2009,36,27,68,0.9,1000,TRUE
4/22/2009,39,27,70,0,1001,FALSE
4/23/2009,40,28,67,0,1003,FALSE
4/24/2009,41,27,50,0,1005,FALSE
4/25/2009,41,26,49,0,1006,FALSE
4/26/2009,42,27,40,0,1006,FALSE
4/27/2009,42,26,36,0,1005,FALSE
4/28/2009,39,26,47,0,1006,FALSE
4/29/2009,40,27,50,0.3,1006,TRUE
4/30/2009,39,27,53,0,1005,FALSE
5/1/2009,39,27,56,1.3,1005,TRUE
5/2/2009,38,27,66,1.3,1007,TRUE
5/3/2009,38,25,66,2.4,1007,TRUE
5/4/2009,40,27,53,0,1006,FALSE
5/5/2009,39,27,51,0.2,1005,TRUE
5/6/2009,41,28,54,0,1004,FALSE
5/7/2009,40,27,53,0,1002,FALSE
5/8/2009,42,28,47,0,1002,FALSE
5/9/2009,41,27,47,0,1001,FALSE
5/10/2009,41,28,50,0,1000,FALSE
5/11/2009,39,28,60,1,1002,TRUE
5/12/2009,36,25,62,3.4,1004,TRUE
5/13/2009,39,25,57,3.1,1002,TRUE
5/14/2009,36,24,68,0.1,1002,TRUE
5/15/2009,35,25,63,0.6,1003,TRUE
5/16/2009,34,26,71,1.8,1005,TRUE
5/17/2009,32,26,78,4.7,1006,TRUE
5/18/2009,30,26,89,4.7,1005,TRUE
5/19/2009,33,26,83,1.3,1005,TRUE
5/20/2009,35,26,72,1.6,1004,TRUE
5/21/2009,36,26,70,1.4,1004,TRUE
5/22/2009,36,27,69,2.1,1003,TRUE
5/23/2009,36,26,68,0.1,1001,TRUE
5/24/2009,33,28,72,1.9,999,TRUE
5/25/2009,30,26,85,0,994,FALSE
5/26/2009,32,26,84,0,996,FALSE
5/27/2009,34,25,80,0.3,1001,TRUE
5/28/2009,35,27,79,8.3,1002,TRUE
5/29/2009,35,27,82,5.6,1002,TRUE
5/30/2009,32,26,81,3.9,1002,TRUE
5/31/2009,34,26,80,0,1002,FALSE
6/1/2009,33,26,79,0,1001,FALSE
6/2/2009,32,26,83,2.8,1000,TRUE
6/3/2009,35,26,80,0.1,1000,TRUE
6/4/2009,33,27,81,2.9,998,TRUE
6/5/2009,34,26,78,0.9,997,TRUE
6/6/2009,35,26,75,0,996,FALSE
6/7/2009,34,26,80,1.4,995,TRUE
6/8/2009,38,27,75,0,996,FALSE
6/9/2009,37,28,77,0,1000,FALSE
6/10/2009,35,28,77,0.4,1003,TRUE
6/11/2009,34,27,76,8.1,1003,TRUE
6/12/2009,34,26,82,4.9,1003,TRUE
6/13/2009,35,27,77,1.5,1004,TRUE
6/14/2009,35,27,77,0.7,1003,TRUE
6/15/2009,34,27,80,0.8,1001,TRUE
6/16/2009,38,27,73,0.5,999,TRUE
6/17/2009,39,28,68,0.3,999,TRUE
6/18/2009,38,28,64,0,998,FALSE
6/19/2009,38,28,61,0,998,FALSE
6/20/2009,36,28,70,0.6,1000,TRUE
6/21/2009,37,27,70,0.1,999,TRUE
6/22/2009,37,28,71,0.6,999,TRUE
6/23/2009,35,28,75,2.3,999,TRUE
6/24/2009,35,28,77,0.3,1000,TRUE
6/25/2009,35,27,75,0.2,1000,TRUE
6/26/2009,33,27,81,2.2,1000,TRUE
6/27/2009,32,27,81,0,1000,FALSE
6/28/2009,32,26,84,0.9,1001,TRUE
6/29/2009,32,26,85,0,1000,FALSE
6/30/2009,30,26,90,2.1,1001,TRUE
7/1/2009,32,26,91,1.2,1001,TRUE
7/2/2009,30,26,93,6.2,1000,TRUE
7/3/2009,31,26,90,0,999,FALSE
7/4/2009,32,26,88,1.1,999,TRUE
7/5/2009,32,25,86,0,999,FALSE
7/6/2009,32,26,88,0.5,999,TRUE
7/7/2009,31,26,91,5.2,999,TRUE
7/8/2009,31,26,90,5,1000,TRUE
7/9/2009,30,25,90,1.6,1001,TRUE
7/10/2009,30,25,89,0,1002,FALSE
7/11/2009,31,25,88,0,1000,FALSE
7/12/2009,32,26,87,1.4,998,TRUE
7/13/2009,34,26,81,0.1,997,TRUE
7/14/2009,32,27,85,4.5,996,TRUE
7/15/2009,30,26,88,2.6,997,TRUE
7/16/2009,31,26,90,0.7,1000,TRUE
7/17/2009,32,26,87,3.3,999,TRUE
7/18/2009,33,26,87,0.6,998,TRUE
7/19/2009,32,26,89,1.8,998,TRUE
7/20/2009,33,25,83,1,997,TRUE
7/21/2009,31,26,88,2.7,1000,TRUE
7/22/2009,30,26,91,1,1001,TRUE
7/23/2009,31,26,91,3.6,1001,TRUE
7/24/2009,31,26,91,5.2,1001,TRUE
7/25/2009,32,27,89,5.2,999,TRUE
7/26/2009,33,26,88,3.5,997,TRUE
7/27/2009,32,27,91,1.2,997,TRUE
7/28/2009,31,26,93,7.9,998,TRUE
7/29/2009,31,26,93,5.4,1000,TRUE
7/30/2009,32,27,90,0,1001,FALSE
7/31/2009,33,26,90,3.8,1000,TRUE
8/1/2009,33,27,89,4.3,1000,TRUE
8/2/2009,33,27,90,8.6,999,TRUE
8/3/2009,32,27,90,4.4,999,TRUE
8/4/2009,31,27,93,11.7,998,TRUE
8/5/2009,32,27,93,6.8,998,TRUE
8/6/2009,31,27,93,8,998,TRUE
8/7/2009,32,27,92,11.8,999,TRUE
8/8/2009,31,27,91,3.3,998,TRUE
8/9/2009,32,26,90,0.5,998,TRUE
8/10/2009,31,26,90,3.2,998,TRUE
8/11/2009,31,26,91,4.1,1002,TRUE
8/12/2009,30,26,92,1,1003,TRUE
8/13/2009,30,26,94,4.1,1003,TRUE
8/14/2009,29,26,95,2.5,1004,TRUE
8/15/2009,30,25,94,3.3,1005,TRUE
8/16/2009,29,25,95,7.7,1006,TRUE
8/17/2009,31,25,92,0,1007,FALSE
8/18/2009,31,26,94,6.3,1007,TRUE
8/19/2009,29,26,94,1.4,1007,TRUE
8/20/2009,29,25,95,5.5,1006,TRUE
8/21/2009,28,24,96,6.7,1005,TRUE
8/22/2009,30,25,92,3.3,1003,TRUE
8/23/2009,28,25,95,0.4,1003,TRUE
8/24/2009,28,24,94,3.1,1003,TRUE
8/25/2009,31,24,91,3.6,1003,TRUE
8/26/2009,29,25,93,2.9,1004,TRUE
8/27/2009,29,24,92,0.9,1004,TRUE
8/28/2009,31,25,90,4.5,1006,TRUE
8/29/2009,32,25,89,2,1005,TRUE
8/30/2009,34,26,87,0.1,1005,TRUE
8/31/2009,32,26,88,3.7,1005,TRUE
9/1/2009,33,26,86,1.4,1004,TRUE
9/2/2009,33,26,88,4.8,1003,TRUE
9/3/2009,31,26,93,6.7,1001,TRUE
9/4/2009,30,26,94,9.4,1001,TRUE
9/5/2009,30,25,91,0.5,999,TRUE
9/6/2009,31,25,89,1,998,TRUE
9/7/2009,30,25,90,0.2,999,TRUE
9/8/2009,31,25,91,5.5,1001,TRUE
9/9/2009,30,25,93,0,1005,FALSE
9/10/2009,30,25,91,2.6,1005,TRUE
9/11/2009,31,26,92,7.5,1006,TRUE
9/12/2009,32,25,88,0.2,1006,TRUE
9/13/2009,33,26,86,1.3,1005,TRUE
9/14/2009,32,26,88,0,1005,FALSE
9/15/2009,31,26,90,1.1,1003,TRUE
9/16/2009,32,26,90,0,1003,FALSE
9/17/2009,31,26,91,1.8,1005,TRUE
9/18/2009,31,25,92,4.4,1008,TRUE
9/19/2009,30,25,91,0,1008,FALSE
9/20/2009,31,25,92,2.7,1008,TRUE
9/21/2009,28,26,96,8,1008,TRUE
9/22/2009,27,25,97,4.4,1007,TRUE
9/23/2009,29,25,94,6.5,1006,TRUE
9/24/2009,30,25,92,0.5,1005,TRUE
9/25/2009,31,25,92,4.4,1005,TRUE
9/26/2009,33,25,91,1.5,1004,TRUE
9/27/2009,34,27,88,2.3,1003,TRUE
9/28/2009,31,26,90,6.1,1003,TRUE
9/29/2009,32,26,88,4.3,1004,TRUE
9/30/2009,30,26,91,2.4,1004,TRUE
10/1/2009,33,25,87,2,1006,TRUE
10/2/2009,32,26,88,1.2,1006,TRUE
10/3/2009,31,25,86,0.2,1005,TRUE
10/4/2009,29,26,95,0.7,1005,TRUE
10/5/2009,29,25,95,11.3,1005,TRUE
10/6/2009,29,25,95,10.8,1005,TRUE
10/7/2009,30,25,95,5.5,1004,TRUE
10/8/2009,29,25,95,11.9,1003,TRUE
10/9/2009,30,25,92,0.4,1004,TRUE
10/10/2009,31,24,88,0,1007,FALSE
10/11/2009,31,24,84,0.9,1009,TRUE
10/12/2009,32,22,84,0,1009,FALSE
10/13/2009,31,23,83,0,1009,FALSE
10/14/2009,31,23,85,0,1009,FALSE
10/15/2009,32,24,87,1.4,1009,TRUE
10/16/2009,30,25,91,1.3,1009,TRUE
10/17/2009,29,24,92,2.3,1007,TRUE
10/18/2009,31,24,88,2.4,1007,TRUE
10/19/2009,31,23,82,0,1008,FALSE
10/20/2009,30,20,81,0,1009,FALSE
10/21/2009,29,19,83,0,1010,FALSE
10/22/2009,29,20,85,0,1010,FALSE
10/23/2009,29,20,85,0,1010,FALSE
10/24/2009,29,21,84,0,1009,FALSE
10/25/2009,29,21,80,0,1010,FALSE
10/26/2009,29,20,74,0,1011,FALSE
10/27/2009,29,20,81,0,1011,FALSE
10/28/2009,29,21,81,0,1011,FALSE
10/29/2009,29,20,82,0,1012,FALSE
10/30/2009,30,21,84,0,1011,FALSE
10/31/2009,29,21,83,0,1011,FALSE
11/1/2009,31,21,81,0,1011,FALSE
11/2/2009,30,21,84,0,1013,FALSE
11/3/2009,30,23,76,0,1013,FALSE
11/4/2009,31,22,76,0,1013,FALSE
11/5/2009,27,23,84,0.8,1013,TRUE
11/6/2009,31,21,80,0,1012,FALSE
11/7/2009,30,22,78,0,1010,FALSE
11/8/2009,30,21,78,0,1010,FALSE
11/9/2009,30,21,77,0,1009,FALSE
11/10/2009,30,20,71,0,1007,FALSE
11/11/2009,29,19,66,0,1007,FALSE
11/12/2009,30,20,72,0,1009,FALSE
11/13/2009,30,21,73,0,1011,FALSE
11/14/2009,31,21,72,0,1009,FALSE
11/15/2009,31,23,76,0.3,1007,TRUE
11/16/2009,31,23,79,0.6,1008,TRUE
11/17/2009,25,21,85,0,1011,FALSE
11/18/2009,25,20,83,0.7,1012,TRUE
11/19/2009,28,21,80,0,1013,FALSE
11/20/2009,26,20,69,0,1015,FALSE
11/21/2009,25,17,67,0,1015,FALSE
11/22/2009,25,15,71,0,1015,FALSE
11/23/2009,26,16,76,0,1014,FALSE
11/24/2009,26,17,76,0,1013,FALSE
11/25/2009,27,17,73,0,1012,FALSE
11/26/2009,26,17,67,0,1012,FALSE
11/27/2009,26,16,65,0,1013,FALSE
11/28/2009,26,16,72,0,1015,FALSE
11/29/2009,26,16,71,0,1015,FALSE
11/30/2009,27,16,73,0,1015,FALSE
12/1/2009,28,17,69,0,1015,FALSE
12/2/2009,27,17,71,0,1015,FALSE
12/3/2009,27,17,71,0,1015,FALSE
12/4/2009,27,18,72,0,1014,FALSE
12/5/2009,27,18,68,0,1013,FALSE
12/6/2009,27,16,62,0,1012,FALSE
12/7/2009,27,16,57,0,1013,FALSE
12/8/2009,26,16,60,0,1013,FALSE
12/9/2009,26,15,65,0,1013,FALSE
12/10/2009,26,15,67,0,1013,FALSE
12/11/2009,25,14,64,0,1013,FALSE
12/12/2009,25,15,72,0,1013,FALSE
12/13/2009,26,15,68,0,1014,FALSE
12/14/2009,26,16,67,0,1014,FALSE
12/15/2009,27,16,68,0,1015,FALSE
12/16/2009,27,16,60,0,1014,FALSE
12/17/2009,27,16,61,0,1014,FALSE
12/18/2009,27,17,64,0,1016,FALSE
12/19/2009,27,18,67,0,1017,FALSE
12/20/2009,27,17,69,0.2,1018,TRUE
12/21/2009,25,15,59,0,1017,FALSE
12/22/2009,25,14,60,0,1016,FALSE
12/23/2009,24,15,61,0,1015,FALSE
12/24/2009,24,13,51,0,1015,FALSE
12/25/2009,23,12,53,0,1014,FALSE
12/26/2009,24,12,51,0,1013,FALSE
12/27/2009,24,13,54,0,1013,FALSE
12/28/2009,24,13,58,0,1012,FALSE
12/29/2009,24,13,49,0,1013,FALSE
12/30/2009,24,13,57,0,1012,FALSE
12/31/2009,25,14,56,0,1012,FALSE
1/1/2010,23,14,61,0,1015,FALSE
1/2/2010,24,13,68,0,1016,FALSE
1/3/2010,25,13,62,0,1014,FALSE
1/4/2010,24,13,52,0,1012,FALSE
1/5/2010,24,13,48,0,1012,FALSE
1/6/2010,24,12,60,0,1013,FALSE
1/7/2010,25,13,65,0,1014,FALSE
1/8/2010,26,12,56,0,1014,FALSE
1/9/2010,25,14,52,0,1014,FALSE
1/10/2010,25,12,54,0,1014,FALSE
1/11/2010,25,13,48,0,1014,FALSE
1/12/2010,24,12,49,0,1015,FALSE
1/13/2010,25,11,43,0,1016,FALSE
1/14/2010,26,15,44,0,1017,FALSE
1/15/2010,27,16,50,0,1019,FALSE
1/16/2010,25,14,59,0,1019,FALSE
1/17/2010,26,13,58,0,1018,FALSE
1/18/2010,26,14,56,0,1017,FALSE
1/19/2010,26,15,53,0,1015,FALSE
1/20/2010,27,13,52,0,1016,FALSE
1/21/2010,27,13,48,0,1015,FALSE
1/22/2010,27,14,49,0,1015,FALSE
1/23/2010,27,13,49,0,1014,FALSE
1/24/2010,27,13,48,0,1014,FALSE
1/25/2010,28,13,47,0,1014,FALSE
1/26/2010,28,14,39,0,1015,FALSE
1/27/2010,27,14,45,0,1016,FALSE
1/28/2010,27,13,44,0,1016,FALSE
1/29/2010,27,14,47,0,1015,FALSE
1/30/2010,27,14,44,0,1014,FALSE
1/31/2010,27,14,52,0,1014,FALSE
2/1/2010,27,15,44,0,1014,FALSE
2/2/2010,27,12,44,0,1013,FALSE
2/3/2010,28,15,41,0,1013,FALSE
2/4/2010,27,13,37,0,1014,FALSE
2/5/2010,27,13,36,0,1014,FALSE
2/6/2010,27,12,40,0,1015,FALSE
2/7/2010,28,12,49,0,1014,FALSE
